	SignatureCluster	VersoCluster	UMAPgroup	nClonal	nMinor
SRR11578290	SC#4	C09	8	13	1
SRR11578291	NA	C06	5	7	0
SRR11578292	SC#4	C06	5	7	2
SRR11578293	SC#4	C11	0	9	3
SRR11578295	SC#4	C11	3	11	3
SRR11578296	SC#4	C11	1	11	6
SRR11578297	SC#4	C02	3	7	2
SRR11578298	SC#2	C09	1	8	153
SRR11578299	NA	C02	3	7	0
SRR11578300	SC#4	C12	1	9	5
SRR11578301	NA	C12	1	13	0
SRR11578302	SC#4	C06	2	10	2
SRR11578303	NA	C11	1	12	0
SRR11578304	SC#4	C09	9	9	1
SRR11578305	NA	C11	5	10	0
SRR11578306	SC#4	C03	0	5	3
SRR11578307	NA	C11	3	11	0
SRR11578308	NA	C13	0	9	0
SRR11578309	SC#2	C06	1	12	157
SRR11578310	NA	C11	1	10	0
SRR11578311	NA	C10	1	10	0
SRR11578312	SC#4	C05	0	10	2
SRR11578313	SC#4	C11	1	11	1
SRR11578314	NA	C11	1	12	0
SRR11578315	SC#4	C09	0	7	1
SRR11578316	NA	C11	1	10	0
SRR11578317	SC#4	C03	0	6	2
SRR11578318	SC#4	C06	0	7	4
SRR11578319	SC#1	C06	1	12	7
SRR11578320	NA	C05	1	9	0
SRR11578321	SC#4	C04	0	6	1
SRR11578322	SC#4	C10	8	9	5
SRR11578323	SC#4	C12	2	9	1
SRR11578324	SC#4	C03	1	6	1
SRR11578325	SC#4	C02	2	8	5
SRR11578326	SC#4	C13	2	12	1
SRR11578328	SC#4	C10	8	10	6
SRR11578329	SC#3	C10	8	11	18
SRR11578330	NA	C09	0	7	0
SRR11578331	SC#4	C10	2	9	2
SRR11578335	SC#4	C10	0	10	2
SRR11578336	SC#4	C09	2	3	30
SRR11578337	SC#4	C02	0	8	1
SRR11578338	NA	C01	1	11	0
SRR11578339	NA	C08	1	9	0
SRR11578340	SC#4	C13	16	13	1
SRR11578341	NA	C09	1	8	0
SRR11578342	SC#4	C09	1	8	1
SRR11578343	NA	C10	8	13	0
SRR11578344	SC#2	C13	6	12	68
SRR11578345	SC#4	C13	1	12	1
SRR11578346	SC#4	C12	4	12	2
SRR11578347	SC#1	C10	4	10	125
SRR11578348	NA	C08	4	12	0
SRR11578349	SC#4	C01	1	11	1
SRR11578350	NA	C10	1	12	0
SRR11578351	NA	C10	1	11	0
SRR11578353	NA	C10	9	11	0
SRR11578354	SC#4	C03	2	4	3
SRR11578355	NA	C13	6	13	0
SRR11578356	SC#2	C13	1	8	750
SRR11578357	SC#4	C13	3	10	1
SRR11578358	NA	C11	0	9	0
SRR11578359	NA	C11	0	9	0
SRR11578360	SC#1	C03	3	4	8
SRR11578361	SC#4	C11	0	9	1
SRR11578362	SC#4	C03	6	4	1
SRR11578363	SC#4	C03	2	4	5
SRR11578364	SC#3	C13	0	9	11
SRR11578365	SC#4	C13	7	11	1
SRR11578368	SC#4	C13	2	9	2
SRR11578369	NA	C10	10	13	0
SRR11578370	SC#4	C09	2	4	9
SRR11578371	SC#4	C10	0	10	1
SRR11578372	SC#4	C06	4	12	1
SRR11578373	NA	C07	0	12	0
SRR11578374	NA	C06	4	9	0
SRR11578375	SC#4	C09	4	8	1
SRR11578376	SC#4	C09	4	6	3
SRR11578377	SC#4	C12	2	9	3
SRR11578378	NA	C10	0	10	0
SRR11578379	SC#3	C01	4	5	30
SRR11578380	NA	C12	2	9	0
SRR11578381	NA	C10	1	14	0
SRR11578383	SC#4	C09	4	6	3
SRR11578384	NA	C09	0	7	0
SRR11578386	NA	C09	9	8	0
SRR11578387	SC#2	C09	9	7	24
SRR11578388	SC#3	C06	9	8	8
SRR11578391	SC#3	C13	2	9	25
SRR11578393	SC#4	C12	2	10	2
SRR11578394	NA	C10	0	10	0
SRR11578395	SC#4	C10	5	11	2
SRR11578396	SC#4	C11	5	9	1
SRR11578397	NA	C08	1	9	0
SRR11621984	SC#3	C11	4	9	38
SRR11621985	SC#4	C11	3	11	1
SRR11621986	SC#4	C11	1	8	8
SRR11621988	NA	C13	4	12	0
SRR11621989	SC#4	C13	0	9	4
SRR11621990	SC#4	C06	7	12	4
SRR11621991	NA	C13	7	10	0
SRR11621992	SC#4	C02	2	9	2
SRR11621993	SC#3	C09	12	8	7
SRR11621994	SC#4	C09	3	7	3
SRR11621995	NA	C09	12	9	0
SRR11621996	NA	C13	10	11	0
SRR11621997	NA	C11	2	11	0
SRR11621998	SC#4	C13	3	10	1
SRR11621999	SC#4	C02	4	8	2
SRR11622000	SC#4	C10	9	11	1
SRR11622001	SC#4	C09	12	9	5
SRR11622002	SC#4	C13	0	9	6
SRR11622003	SC#4	C09	8	10	3
SRR11622004	NA	C11	0	9	0
SRR11622006	NA	C02	0	8	0
SRR11622007	SC#4	C02	0	8	1
SRR11622009	SC#4	C04	0	6	3
SRR11622011	SC#4	C08	1	9	2
SRR11622012	NA	C08	4	10	0
SRR11622014	SC#4	C02	3	7	7
SRR11622015	NA	C13	3	10	0
SRR11622016	SC#4	C13	5	12	1
SRR11622017	SC#4	C10	1	13	1
SRR11622018	SC#4	C10	8	10	2
SRR11622019	NA	C10	5	13	0
SRR11622020	NA	C09	0	7	0
SRR11622021	SC#4	C13	0	9	3
SRR11622022	SC#4	C01	1	11	1
SRR11622023	NA	C10	6	15	0
SRR11622024	SC#4	C13	2	10	1
SRR11622025	NA	C05	4	11	0
SRR11622026	SC#4	C03	3	4	5
SRR11622027	SC#1	C12	0	9	12
SRR11622029	SC#3	C09	6	8	23
SRR11622030	SC#4	C03	3	4	5
SRR11622032	SC#4	C13	0	9	3
SRR11622033	NA	C09	0	7	0
SRR11622034	NA	C05	4	10	0
SRR11622036	SC#4	C08	3	10	3
SRR11622037	SC#4	C09	0	7	1
SRR11622038	SC#4	C03	0	5	8
SRR11622039	SC#4	C03	0	4	1
SRR11622040	SC#4	C12	1	11	2
SRR11622041	SC#4	C09	4	6	1
SRR11622044	SC#4	C03	0	5	1
SRR11622045	NA	C10	12	12	0
SRR11622046	SC#4	C08	3	10	1
SRR11622047	SC#4	C09	4	6	5
SRR11622049	SC#4	C13	11	9	2
SRR11622050	SC#4	C12	1	13	2
SRR11622051	SC#4	C09	4	6	3
SRR11622052	NA	C09	1	8	0
SRR11622054	SC#1	C12	3	12	72
SRR11622055	SC#1	C12	3	12	34
SRR11622056	NA	C13	2	11	0
SRR11622057	NA	C08	1	9	0
SRR11622058	NA	C09	1	9	0
SRR11622059	SC#4	C10	10	15	1
SRR11622060	SC#4	C13	5	14	1
SRR11622061	SC#4	C03	0	3	2
SRR11622063	SC#4	C08	2	11	1
SRR11622064	SC#4	C10	6	11	1
SRR11622066	SC#3	C09	3	8	17
SRR11622068	SC#3	C01	1	9	41
SRR11622069	SC#4	C03	5	9	4
SRR11622070	SC#3	C05	0	8	18
SRR11622072	SC#4	C10	2	8	21
SRR11622073	SC#3	C13	4	12	7
SRR11622075	SC#3	C01	2	4	27
SRR11622076	SC#3	C01	1	11	31
SRR11622077	SC#4	C07	0	13	5
SRR11622078	SC#3	C02	2	8	41
SRR11622080	SC#4	C09	1	8	2
SRR11622081	SC#4	C09	4	6	2
SRR11622082	SC#3	C13	2	8	23
SRR11622083	SC#3	C10	2	8	12
SRR11622084	SC#3	C10	1	11	46
SRR11622085	SC#4	C13	0	9	1
SRR11622086	SC#4	C13	4	12	1
SRR11622087	SC#4	C11	3	11	5
SRR11622088	SC#4	C10	2	11	3
SRR11622089	SC#3	C08	4	9	7
SRR11622090	SC#3	C02	3	7	40
SRR11622091	SC#3	C10	6	11	77
SRR11622093	NA	C13	4	12	0
SRR11622094	SC#4	C08	3	12	3
SRR11622095	SC#3	C02	3	7	52
SRR11622096	SC#4	C13	10	9	17
SRR11622097	SC#4	C13	10	11	17
SRR11622098	SC#3	C10	6	14	40
SRR11622099	SC#4	C08	2	12	3
SRR11622100	SC#4	C08	2	12	8
SRR11622101	NA	C08	2	12	0
SRR11622102	SC#4	C08	2	12	4
SRR11622104	SC#4	C08	2	12	1
SRR11622105	SC#4	C06	7	12	10
SRR11622106	NA	C10	6	11	0
SRR11622107	SC#4	C10	6	11	1
SRR11622108	NA	C10	6	11	0
SRR11622109	SC#3	C13	9	12	20
SRR11622110	SC#4	C10	1	12	4
SRR11622111	SC#4	C12	0	10	3
SRR11622112	SC#3	C05	0	9	28
SRR11622113	SC#4	C10	1	11	1
SRR11622114	SC#4	C13	11	9	1
SRR11622115	SC#4	C11	4	9	5
SRR11622116	SC#4	C11	4	10	5
SRR11622117	SC#4	C11	0	9	1
SRR11622118	NA	C11	5	10	0
SRR11622119	SC#4	C03	1	5	2
SRR11622120	SC#4	C09	6	9	2
SRR11622122	SC#4	C11	1	10	5
SRR11622123	SC#4	C11	4	11	11
SRR11622124	SC#4	C13	2	10	1
SRR11622125	SC#4	C09	14	10	1
SRR11622126	NA	C11	2	10	0
SRR11622127	SC#4	C06	3	3	23
SRR11622128	SC#4	C09	9	8	1
SRR11622129	NA	C09	2	11	0
SRR11622130	NA	C11	2	10	0
SRR11622131	NA	C11	3	11	0
SRR11622133	SC#3	C13	8	5	19
SRR11622134	SC#4	C11	3	11	1
SRR11622135	NA	C05	4	13	0
SRR11622136	SC#4	C06	4	11	5
SRR11622137	SC#4	C11	5	9	2
SRR11622139	SC#4	C06	4	5	15
SRR11622140	SC#4	C10	2	5	20
SRR11622141	SC#4	C10	0	10	6
SRR11622142	SC#4	C10	2	5	12
SRR11622143	SC#4	C13	3	7	10
SRR11622144	NA	C10	0	10	0
SRR11622145	SC#4	C06	2	10	6
SRR11622146	SC#4	C03	0	5	1
SRR11622148	SC#4	C11	2	11	2
SRR11622149	SC#4	C10	1	12	2
SRR11622150	SC#4	C12	0	10	7
SRR11622151	SC#4	C12	0	11	1
SRR11622152	SC#4	C13	2	6	16
SRR11622153	SC#4	C09	2	9	4
SRR11622154	NA	C13	13	12	0
SRR11622155	NA	C10	0	10	0
SRR11622157	NA	C10	4	12	0
SRR11622158	SC#4	C13	15	11	1
SRR11622159	SC#4	C11	4	9	3
SRR11622160	SC#4	C13	0	9	5
SRR11622161	SC#3	C06	3	7	38
SRR11622162	SC#4	C12	4	12	1
SRR11622163	SC#4	C12	4	14	1
SRR11622164	SC#4	C09	9	8	14
SRR11622165	SC#3	C09	0	7	16
SRR11622166	SC#4	C09	11	8	13
SRR11622168	SC#3	C10	6	14	29
SRR11622170	NA	C11	3	11	0
SRR11622171	NA	C12	1	11	0
SRR11622172	SC#4	C12	1	12	1
SRR11622173	SC#4	C13	4	11	6
SRR11622175	SC#2	C08	0	7	116
SRR11622176	SC#4	C08	0	8	3
SRR11622177	SC#4	C08	4	9	5
SRR11622178	NA	C13	5	12	0
SRR11622179	SC#2	C08	0	8	149
SRR11622180	NA	C13	0	9	0
SRR11622181	SC#4	C09	1	7	2
SRR11622182	SC#4	C13	2	12	1
SRR11622183	NA	C10	9	11	0
SRR11622184	SC#4	C11	0	9	1
SRR11622186	SC#3	C13	8	11	20
SRR11622187	NA	C13	8	13	0
SRR11622188	SC#4	C10	0	10	1
SRR11622190	SC#4	C13	0	9	5
SRR11622191	SC#3	C06	0	9	56
SRR11622192	NA	C11	3	13	0
SRR11622193	SC#4	C13	4	11	2
SRR11622194	NA	C13	4	11	0
SRR11622196	NA	C10	6	11	0
SRR11622197	SC#4	C13	4	12	1
SRR11622198	NA	C13	3	10	0
SRR11622200	NA	C11	2	10	0
SRR11622201	NA	C11	0	9	0
SRR11622202	SC#4	C06	7	12	1
SRR11622203	SC#4	C01	2	6	3
SRR11622205	SC#3	C13	8	7	46
SRR11622206	SC#4	C13	6	12	2
SRR11622207	SC#4	C11	2	10	9
SRR11622208	SC#4	C11	4	8	2
SRR11622209	SC#4	C11	5	10	1
SRR11622210	SC#3	C06	3	8	44
SRR11622211	SC#1	C13	4	12	12
SRR11622212	SC#4	C06	7	12	8
SRR11622214	SC#4	C13	11	12	1
SRR11622215	SC#4	C02	4	8	4
SRR11622216	SC#4	C02	4	8	1
SRR11622217	SC#4	C09	7	8	7
SRR11622218	SC#3	C09	8	7	31
SRR11622219	NA	C09	9	8	0
SRR11622220	SC#4	C11	3	11	3
SRR11622221	NA	C13	5	12	0
SRR11622222	SC#4	C09	12	11	1
SRR11622223	SC#4	C08	1	9	3
SRR11622224	SC#4	C08	4	9	4
SRR11622225	NA	C09	13	9	0
SRR11622226	SC#4	C13	5	12	3
SRR11622227	SC#4	C03	2	5	2
SRR11622228	NA	C13	0	9	0
SRR11622231	SC#3	C13	8	8	36
SRR11622232	SC#4	C10	1	11	1
SRR11622233	SC#3	C01	2	3	91
SRR11622234	NA	C12	2	11	0
SRR11622235	SC#3	C08	3	9	43
SRR11622236	NA	C07	0	13	0
SRR11622237	SC#4	C05	1	8	2
SRR11622238	SC#4	C10	8	10	2
SRR11622239	SC#4	C01	1	11	3
SRR11622240	SC#4	C13	12	10	1
SRR11695894	SC#4	C13	0	9	1
SRR11695895	SC#4	C13	4	12	2
SRR11695896	SC#4	C11	1	10	3
SRR11695897	SC#4	C10	1	11	3
SRR11695898	SC#3	C08	0	8	9
SRR11695902	SC#3	C13	4	11	9
SRR11695903	NA	C13	4	12	0
SRR11695910	SC#4	C09	1	8	2
SRR11695911	SC#4	C10	0	10	1
SRR11695912	SC#3	C13	8	7	22
SRR11695914	SC#4	C08	3	12	2
SRR11721999	SC#2	C05	3	8	53
SRR11722000	SC#4	C01	1	11	1
