	SignatureCluster	VersoCluster	UMAPgroup	nClonal	nMinor
SRR11494614	NA	C13	15	11	0
SRR11494615	SC#4	C09	1	10	1
SRR11494616	SC#4	C10	9	11	5
SRR11494617	NA	C06	0	8	0
SRR11494618	SC#4	C01	0	10	2
SRR11494619	SC#4	C06	8	9	1
SRR11494620	NA	C07	1	12	0
SRR11494621	NA	C01	0	10	0
SRR11494622	NA	C06	4	11	0
SRR11494623	SC#4	C04	2	3	10
SRR11494624	NA	C10	4	11	0
SRR11494625	SC#4	C11	2	9	1
SRR11494626	SC#4	C06	8	10	5
SRR11494627	SC#4	C13	9	10	1
SRR11494628	NA	C11	0	9	0
SRR11494629	SC#4	C01	0	10	1
SRR11494630	NA	C09	0	7	0
SRR11494631	NA	C11	2	10	0
SRR11494632	NA	C11	0	9	0
SRR11494633	SC#4	C03	1	4	2
SRR11494634	SC#4	C03	1	4	3
SRR11494635	NA	C10	4	12	0
SRR11494637	SC#2	C08	0	8	361
SRR11494638	SC#4	C10	2	9	6
SRR11494639	NA	C10	0	10	0
SRR11494640	NA	C10	0	10	0
SRR11494641	SC#4	C03	2	4	1
SRR11494642	NA	C13	0	9	0
SRR11494643	SC#4	C10	0	10	1
SRR11494645	SC#2	C12	3	12	61
SRR11494646	SC#2	C13	7	10	81
SRR11494647	SC#4	C06	4	11	2
SRR11494648	SC#4	C02	0	8	3
SRR11494649	NA	C09	8	10	0
SRR11494650	SC#4	C09	14	10	2
SRR11494651	SC#4	C06	5	7	2
SRR11494652	SC#4	C01	5	11	1
SRR11494653	SC#4	C09	12	10	3
SRR11494654	SC#4	C07	2	8	4
SRR11494655	SC#4	C06	5	8	2
SRR11494656	SC#4	C13	7	10	7
SRR11494657	SC#2	C10	7	14	67
SRR11494658	NA	C10	1	12	0
SRR11494659	NA	C02	0	9	0
SRR11494660	NA	C08	1	9	0
SRR11494661	NA	C01	2	6	0
SRR11494662	SC#4	C13	7	10	1
SRR11494663	SC#4	C06	6	13	1
SRR11494664	SC#2	C13	1	12	308
SRR11494666	SC#4	C10	1	12	2
SRR11494667	NA	C11	0	9	0
SRR11494668	SC#4	C03	5	5	3
SRR11494669	NA	C13	2	10	0
SRR11494670	SC#4	C09	1	9	1
SRR11494671	SC#4	C09	1	8	2
SRR11494672	NA	C09	7	8	0
SRR11494673	NA	C09	14	10	0
SRR11494674	SC#4	C03	2	4	1
SRR11494676	NA	C13	6	12	0
SRR11494677	SC#4	C13	6	12	1
SRR11494678	NA	C06	1	12	0
SRR11494679	SC#4	C01	0	10	2
SRR11494680	NA	C13	0	9	0
SRR11494681	NA	C09	12	10	0
SRR11494682	NA	C02	0	8	0
SRR11494683	SC#4	C05	2	11	1
SRR11494684	NA	C09	8	9	0
SRR11494685	SC#4	C09	6	9	2
SRR11494686	SC#4	C09	5	8	1
SRR11494687	SC#4	C09	7	8	2
SRR11494688	SC#4	C08	1	9	2
SRR11494689	NA	C09	7	8	0
SRR11494690	NA	C09	7	8	0
SRR11494691	SC#4	C01	0	10	1
SRR11494692	SC#4	C10	3	12	1
SRR11494693	SC#4	C06	3	11	1
SRR11494694	SC#4	C13	2	10	1
SRR11494695	NA	C09	7	8	0
SRR11494696	SC#4	C03	2	4	2
SRR11494697	SC#4	C13	7	10	2
SRR11494698	SC#4	C09	7	8	1
SRR11494699	NA	C13	9	11	0
SRR11494700	SC#2	C08	0	10	100
SRR11494701	NA	C13	10	10	0
SRR11494702	NA	C13	5	15	0
SRR11494703	SC#4	C04	3	5	2
SRR11494704	SC#4	C13	10	10	1
SRR11494705	SC#4	C13	12	11	1
SRR11494706	SC#4	C09	10	10	3
SRR11494707	SC#4	C02	0	8	1
SRR11494708	SC#4	C01	0	10	2
SRR11494709	NA	C01	4	7	0
SRR11494710	SC#4	C09	10	10	2
SRR11494711	NA	C13	0	9	0
SRR11494712	SC#4	C10	5	12	1
SRR11494713	NA	C05	2	10	0
SRR11494714	SC#4	C10	0	10	3
SRR11494715	NA	C06	8	10	0
SRR11494716	NA	C10	4	12	0
SRR11494717	NA	C13	14	12	0
SRR11494718	NA	C13	9	10	0
SRR11494719	SC#4	C03	2	4	3
SRR11494720	NA	C13	15	11	0
SRR11494721	NA	C13	9	11	0
SRR11494722	SC#4	C02	0	8	2
SRR11494723	SC#4	C13	9	11	1
SRR11494724	NA	C04	2	4	0
SRR11494725	SC#4	C03	2	4	2
SRR11494726	SC#4	C10	5	11	2
SRR11494727	SC#4	C03	6	4	1
SRR11494728	SC#4	C10	4	11	2
SRR11494729	NA	C10	0	10	0
SRR11494730	SC#4	C03	2	4	1
SRR11494731	SC#4	C05	2	11	1
SRR11494732	SC#4	C13	3	10	1
SRR11494734	SC#4	C12	0	11	1
SRR11494735	SC#4	C06	3	13	1
SRR11494736	NA	C02	5	8	0
SRR11494737	SC#4	C05	2	9	1
SRR11494738	NA	C10	3	11	0
SRR11494739	NA	C06	6	12	0
SRR11494740	SC#4	C03	2	4	3
SRR11494741	SC#4	C10	0	10	1
SRR11494742	SC#4	C10	10	11	4
SRR11494743	SC#4	C09	2	3	18
SRR11494744	SC#4	C10	10	11	3
SRR11494745	SC#4	C03	5	4	2
SRR11494746	NA	C09	7	8	0
SRR11494747	NA	C06	1	12	0
SRR11494748	SC#4	C03	4	6	1
SRR11494749	NA	C12	0	11	0
SRR11494750	SC#4	C13	10	13	1
SRR11494751	SC#4	C13	13	11	3
SRR11494752	NA	C01	5	11	0
SRR11494753	SC#4	C10	0	10	14
SRR11494754	NA	C06	2	13	0
SRR11494755	SC#4	C09	7	8	1
SRR11494756	NA	C13	7	10	0
SRR11494757	SC#4	C01	0	10	3
SRR11494758	SC#4	C13	3	10	2
SRR11494759	SC#4	C03	2	4	1
SRR11494760	SC#4	C10	0	10	13
SRR11494761	SC#4	C12	2	10	1
SRR11494762	SC#3	C05	0	5	10
SRR11494763	NA	C05	0	6	0
SRR11577831	SC#4	C07	1	15	1
SRR11577832	NA	C13	3	10	0
SRR11577833	SC#3	C13	12	9	27
SRR11577834	NA	C01	2	3	0
SRR11577835	NA	C09	5	8	0
SRR11577836	NA	C09	5	7	0
SRR11577837	SC#4	C09	5	8	1
SRR11577838	NA	C09	5	8	0
SRR11577839	SC#4	C10	11	12	2
SRR11577841	NA	C09	6	10	0
SRR11577842	SC#4	C03	3	4	1
SRR11577843	SC#4	C13	11	10	2
SRR11577845	NA	C08	1	9	0
SRR11577846	NA	C09	0	7	0
SRR11577849	SC#4	C13	11	9	2
SRR11577851	SC#4	C13	0	9	2
SRR11577852	SC#4	C11	2	9	3
SRR11577855	SC#4	C13	14	13	1
SRR11577856	NA	C12	2	9	0
SRR11577857	SC#4	C13	14	13	1
SRR11577858	SC#1	C09	9	8	834
SRR11577859	SC#1	C10	8	9	1110
SRR11577861	SC#4	C03	1	3	3
SRR11577862	SC#1	C02	2	7	2351
SRR11577864	SC#1	C09	11	8	534
SRR11577865	SC#1	C03	5	4	3508
SRR11577866	SC#1	C03	5	6	678
SRR11577868	SC#4	C09	14	10	2
SRR11577869	SC#4	C09	11	8	1
SRR11577870	NA	C10	8	10	0
SRR11577871	SC#4	C11	1	10	1
SRR11577873	SC#4	C09	3	9	1
